Sex,Stature,Footstep
1,167,45.5
1,170,47.17
1,171,53.67
1,172,55.67
1,172,41.5
1,173,55.67
1,173,51.17
1,174,58.33
1,176,54.67
1,169,47.17
1,167,42.83
1,167,39
1,168,36.83
1,168,47.5
1,169,51.33
1,169,42
1,170,46.5
1,172,47
1,173,55.67
1,175,54.67
1,176,61
1,176,64.67
1,176,58.33
1,178,64.33
1,178,60.67
1,179,69.17
1,181,71.33
1,183,65.33
1,184,74.67
1,186,79
1,188,83.33
1,171,51.67
1,171,49
1,169,60
1,170,49
1,172,49.67
1,172,53.67
1,174,56.67
1,175,51.83
1,175,52
1,176,67
1,177,57
1,177,58.33
1,178,63.67
1,181,55.33
1,186,78.33
1,172,57
1,174,59.33
1,175,76.67
1,175,61
1,178,65
1,179,66.33
1,180,64.67
1,182,70.33
1,185,78.67
1,187,84.33
1,187,86.67
1,177,58.67
1,179,66
1,180,68
1,180,68
1,182,70
1,185,81.5
1,189,84
1,175,52.33
1,175,52.33
1,180,72.67
1,181,70.83
1,178,58.33
1,180,73.67
1,185,74.33
1,172,55.67
1,180,66.33
1,171,49.17
1,175,69.33
1,180,69
1,182,73
1,182,55.33
1,168,38.33
1,170,45.33
1,170,53.67
1,172,48.33
1,176,56.33
1,177,57.83
1,183,74
1,174,47
1,169,50.33
1,173,54.67
1,176,65.67
1,176,64
1,178,67
1,186,81.33
1,175,56.67
1,185,77.33
1,189,80.33
1,170,54
1,177,57.33
1,178,65
1,175,54
1,180,66.33
2,155,48.33
2,155,45.33
2,156,48.33
2,156,48
2,157,50
2,157,50.67
2,158,53
2,160,52.67
2,160,51.33
2,162,52
2,163,56
2,162,52.67
2,155,47.33
2,158,51.67
2,158,49.67
2,159,52
2,159,49.33
2,160,52.67
2,161,52.33
2,163,56
2,164,54.67
2,165,55.33
2,166,58.33
2,155,47
2,158,52.33
2,159,50
2,159,49.67
2,160,54.67
2,160,53
2,160,52.67
2,161,56.33
2,161,54.33
2,162,54.33
2,164,57.67
2,164,57.33
2,164,56
2,165,54
2,165,56.67
2,165,55.33
2,167,58
2,171,62.67
2,174,64.33
2,159,53.67
2,160,54.33
2,160,53.33
2,162,54.67
2,163,55.33
2,163,58.67
2,164,56
2,165,59.67
2,165,59.33
2,165,58
2,166,56.33
2,167,58.33
2,167,58.67
2,168,59.33
2,168,60.33
2,168,61.67
2,169,62
2,171,63.67
2,174,63.67
2,175,64
2,168,59.33
2,168,61.67
2,169,61.33
2,170,63
2,171,60.67
2,172,62.67
2,173,63.67
2,173,65.33
2,175,68.33
2,175,62.67
2,170,64
2,175,64.67
2,177,66
2,175,65.33
2,151,45.33
2,156,49
2,159,52
2,159,53.33
2,157,49.33
2,158,51.67
2,158,52.33
2,161,57
2,160,54.67
2,162,56.67
2,163,53.67
2,164,55.33
2,165,54
2,166,56.67
2,170,64.33
2,173,67
2,162,58.67
2,163,54.33
2,169,61.67
2,170,59
2,172,63.67
2,172,66.33
2,164,56.33
2,174,66
